val,HAgE,nu,HAgB_nu,key_nu,eta,HAgB_eta,key_eta
6.674856941541873478e-01,6.920333317667184403e-01,9.381937667659826507e-01,1.989009184667283048e-01,4.931324132999901355e-01,9.682795077289421126e-01,1.979384872324239097e-01,4.940948445342945305e-01
6.714831991041384507e-01,7.167489105412361283e-01,9.438125152418023189e-01,1.847400833281283017e-01,5.320088272131078266e-01,9.712340567032978766e-01,1.839284209339593357e-01,5.328204896072767927e-01
6.754807040540896645e-01,7.414642840297220872e-01,9.494312637176220981e-01,1.701615471868527241e-01,5.713027368428693631e-01,9.741738021571557660e-01,1.694892256536848496e-01,5.719750583760372376e-01
6.794782090040407674e-01,7.661796855332285716e-01,9.550500121934418774e-01,1.551200566904953337e-01,6.110596288427332379e-01,9.770989644009263619e-01,1.545754253584668003e-01,6.116042601747617713e-01
6.834757139539918702e-01,7.908951568067212889e-01,9.606687606692616566e-01,1.395589563297665592e-01,6.513362004769547298e-01,9.800097583341125240e-01,1.391300890480211550e-01,6.517650677587001340e-01
6.874732189039430841e-01,8.156106702998808800e-01,9.662875091450813247e-01,1.234052452285896440e-01,6.922054250712912360e-01,9.829063936295474591e-01,1.230798739908405270e-01,6.925307963090403529e-01
6.914707238538941869e-01,8.404218853029972180e-01,9.719062576209011040e-01,1.065612779371689633e-01,7.338606073658282547e-01,9.857890749096458460e-01,1.063267063888834185e-01,7.340951789141137995e-01
6.954682288038452898e-01,8.662607968975724049e-01,9.775250060967206611e-01,8.888965529850278990e-02,7.773711415990696150e-01,9.886580019150886800e-01,8.873264055832386088e-02,7.775281563392485440e-01
6.994657337537965036e-01,8.935683459493866110e-01,9.831437545725406624e-01,7.018242113560990703e-02,8.233859248137767040e-01,9.915133696859048662e-01,7.008900138032370108e-02,8.234793445690629099e-01
7.034632387037476065e-01,9.226919656544740889e-01,9.887625030483604416e-01,5.008647810920896504e-02,8.726054875452651238e-01,9.943553686208458364e-01,5.004169643596934058e-02,8.726502692185047483e-01
7.074607436536987093e-01,9.541448525336182485e-01,9.943812515241801098e-01,2.785832263534304687e-02,9.262865298982752016e-01,9.971841848087803495e-01,2.784570157318810857e-02,9.262991509604301399e-01
7.114582486036499231e-01,9.887292933041065268e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.887292933041065268e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.887292933041065268e-01
