val,HAgE,nu,HAgB_nu,key_nu,eta,HAgB_eta,key_eta
5.775767368421051984e-01,2.519505000000000217e-01,8.156878742562257978e-01,4.436258216004334010e-01,0.000000000000000000e+00,8.993984078521607417e-01,4.373426486406277736e-01,0.000000000000000000e+00
5.822368157894737273e-01,2.748550000000000160e-01,8.222691121212203358e-01,4.326714362553694126e-01,0.000000000000000000e+00,9.033374453432837514e-01,4.268086146305207773e-01,0.000000000000000000e+00
5.868969210526316926e-01,2.977597000000000160e-01,8.288503871509220744e-01,4.215240107177142814e-01,0.000000000000000000e+00,9.072458670950421800e-01,4.160656154239290583e-01,0.000000000000000000e+00
5.915569999999999995e-01,3.206641000000000075e-01,8.354316250159162793e-01,4.101769680191709178e-01,0.000000000000000000e+00,9.111243329368885480e-01,4.051074064682382847e-01,0.000000000000000000e+00
5.962170789473685284e-01,3.435687000000000046e-01,8.420128628809109284e-01,3.986230010234235177e-01,0.000000000000000000e+00,9.149735424410461171e-01,3.939269944585337413e-01,0.000000000000000000e+00
6.008771842105262717e-01,3.664733000000000018e-01,8.485941379106122229e-01,3.868541882774805263e-01,0.000000000000000000e+00,9.187941693472094773e-01,3.825167464474925616e-01,0.000000000000000000e+00
6.055372631578948006e-01,3.893778999999999990e-01,8.551753757756068719e-01,3.748621191199590363e-01,1.451578088004096267e-02,9.225867988708196243e-01,3.708685096265992298e-01,1.850939037340076920e-02
6.101973421052631075e-01,4.122825999999999991e-01,8.617566136406009658e-01,3.626374009888013727e-01,4.964519901119862633e-02,9.263520583555702181e-01,3.589731309924844016e-01,5.330946900751559747e-02
6.148574210526316364e-01,4.351875000000000049e-01,8.683378515055955038e-01,3.501698120458276442e-01,8.501768795417236069e-02,9.300905319444432440e-01,3.468206018428257043e-01,8.836689815717430063e-02
6.195175263157894907e-01,4.580915999999999877e-01,8.749191265352969094e-01,3.374480283803324987e-01,1.206435716196674890e-01,9.338028041833644766e-01,3.343997885863908559e-01,1.236918114136091318e-01
6.241776052631579086e-01,4.809961999999999849e-01,8.815003644002914474e-01,3.244597500774828447e-01,1.565364499225171402e-01,9.374893773084325144e-01,3.216985517766487446e-01,1.592976482233512403e-01
6.288376842105263265e-01,5.039008000000000376e-01,8.880816022652856523e-01,3.111910713368031267e-01,1.927097286631969109e-01,9.411507980071903701e-01,3.087031256890853115e-01,1.951976743109147261e-01
6.334977894736842918e-01,5.268053000000000319e-01,8.946628772949873909e-01,2.976264429929371680e-01,2.291788570070628639e-01,9.447875945228245698e-01,2.953980754551031040e-01,2.314072245448969278e-01
6.381578684210527097e-01,5.497098999999999736e-01,9.012441151599817069e-01,2.837486019644599455e-01,2.659612980355400280e-01,9.484002169087281109e-01,2.817662199037928028e-01,2.679436800962071707e-01
6.428179473684211276e-01,5.726147000000000320e-01,9.078253530249760228e-01,2.695377220770922566e-01,3.030769779229077754e-01,9.519891607144576051e-01,2.677877907635031196e-01,3.048269092364969124e-01
6.474780263157895455e-01,5.955190999999999679e-01,9.144065908899705608e-01,2.549712172379716701e-01,3.405478827620282978e-01,9.555548855201354552e-01,2.534402275987968078e-01,3.420788724012031601e-01
6.521381315789473998e-01,6.186498999999999748e-01,9.209878659196719664e-01,2.400229237984721209e-01,3.786269762015278539e-01,9.590978561731476892e-01,2.386973602040418641e-01,3.799525397959581108e-01
6.567982105263158177e-01,6.424562000000000328e-01,9.275691037846663933e-01,2.246625641933974737e-01,4.177936358066025591e-01,9.626184635356934693e-01,2.235288642804600379e-01,4.189273357195399949e-01
6.614582894736842356e-01,6.670099999999999918e-01,9.341503416496608203e-01,2.088540442698287869e-01,4.581559557301712049e-01,9.661171451363490537e-01,2.078985612511207171e-01,4.591114387488792747e-01
6.661183947368422009e-01,6.923842000000000052e-01,9.407316166793624479e-01,1.925540169262720536e-01,4.998301830737279516e-01,9.695943251686065523e-01,1.917629721137552590e-01,5.006212278862447462e-01
6.707784736842105078e-01,7.186721999999999833e-01,9.473128545443568749e-01,1.757097397008877682e-01,5.429624602991122151e-01,9.730503566869425081e-01,1.750691645175711519e-01,5.436030354824288313e-01
6.754385526315790367e-01,7.459858000000000322e-01,9.538940924093511908e-01,1.582548657448779039e-01,5.877309342551221283e-01,9.764856399347058291e-01,1.577505381131505402e-01,5.882352618868494920e-01
6.800986315789473435e-01,7.744706999999999564e-01,9.604753302743453958e-01,1.401040348096722621e-01,6.343666651903276943e-01,9.799005441711930997e-01,1.397213957209976209e-01,6.347493042790023354e-01
6.847587368421053089e-01,8.043133999999999562e-01,9.670566053040471344e-01,1.211429825886956024e-01,6.831704174113043537e-01,9.832954469463290881e-01,1.208670302809584651e-01,6.834463697190414910e-01
6.894188157894737268e-01,8.357704999999999718e-01,9.736378431690414503e-01,1.012113407012282806e-01,7.345591592987716911e-01,9.866706579685328160e-01,1.010264847193123039e-01,7.347440152806876679e-01
6.940788947368421447e-01,8.692001999999999784e-01,9.802190810340357663e-01,8.006607526984343970e-02,7.891341247301565387e-01,9.900265345450920407e-01,7.995592945549012676e-02,7.892442705445098516e-01
6.987390000000001100e-01,9.051339999999999941e-01,9.868003560637376159e-01,5.729490868775810597e-02,8.478390913122418882e-01,9.933634239789278508e-01,5.724195692063416274e-02,8.478920430793658314e-01
7.033990789473684169e-01,9.444093000000000071e-01,9.933815939287317098e-01,3.203178087052926948e-02,9.123775191294707376e-01,9.966816078731407513e-01,3.201674526297992873e-02,9.123925547370200784e-01
7.080591578947369458e-01,9.884623999999999633e-01,9.999628317937263589e-01,3.188707442136617942e-04,9.881435292557863015e-01,9.999814156086543893e-01,3.188698457383676299e-04,9.881435301542615957e-01
