val,HAgE,nu,HAgB_nu,key_nu,eta,HAgB_eta,key_eta
5.128205128205128860e-01,1.252627255254878946e-07,7.249994335944136559e-01,5.776546535835662688e-01,0.000000000000000000e+00,8.412092202562450050e-01,5.643191563013392198e-01,0.000000000000000000e+00
5.178081712348897581e-01,2.105911336740895479e-02,7.320507301689157531e-01,5.682387389808942757e-01,0.000000000000000000e+00,8.460002351255804243e-01,5.556175676682273412e-01,0.000000000000000000e+00
5.227958296492668522e-01,4.211813782256612626e-02,7.391020267434180724e-01,5.586682480820375218e-01,0.000000000000000000e+00,8.507394260792469076e-01,5.467343811078395621e-01,0.000000000000000000e+00
5.277834880636438353e-01,6.317724859419637795e-02,7.461533233179201696e-01,5.489396458951887325e-01,0.000000000000000000e+00,8.554284393189012237e-01,5.376670889962865685e-01,0.000000000000000000e+00
5.327711464780208184e-01,8.423637017043716924e-02,7.532046198924220448e-01,5.390491956220460068e-01,0.000000000000000000e+00,8.600688356957911784e-01,5.284129174732208334e-01,0.000000000000000000e+00
5.377588048923979125e-01,1.052954193713171449e-01,7.602559164669244751e-01,5.289929414174077138e-01,0.000000000000000000e+00,8.646620967803340108e-01,5.189688134138039644e-01,0.000000000000000000e+00
5.427464633067748956e-01,1.263544079886624871e-01,7.673072130414267944e-01,5.187666891180029438e-01,0.000000000000000000e+00,8.692096303877875352e-01,5.093314289602102196e-01,0.000000000000000000e+00
5.477341217211518787e-01,1.474134735850194389e-01,7.743585096159288916e-01,5.083659846326296083e-01,0.000000000000000000e+00,8.737127756184216443e-01,4.994971033446775621e-01,0.000000000000000000e+00
5.527217801355288618e-01,1.684725857948237149e-01,7.814098061904310999e-01,4.977860896278634151e-01,0.000000000000000000e+00,8.781728074633220471e-01,4.894618416727909427e-01,0.000000000000000000e+00
5.577094385499059559e-01,1.895316429447744255e-01,7.884611027649333082e-01,4.870219540727522833e-01,0.000000000000000000e+00,8.825909410207225525e-01,4.792212902599002344e-01,0.000000000000000000e+00
5.626970969642829390e-01,2.105906794418999084e-01,7.955123993394354054e-01,4.760681851184678237e-01,0.000000000000000000e+00,8.869683353623757371e-01,4.687707080218272981e-01,0.000000000000000000e+00
5.676847553786599221e-01,2.316497912928170422e-01,8.025636959139377247e-01,4.649190116803378903e-01,0.000000000000000000e+00,8.913060970848191156e-01,4.581049333085444042e-01,0.000000000000000000e+00
5.726724137930370162e-01,2.527089044320014466e-01,8.096149924884400439e-01,4.535682439539598931e-01,0.000000000000000000e+00,8.956052835763697040e-01,4.472183454301570382e-01,0.000000000000000000e+00
5.776600722074139993e-01,2.737679074157206571e-01,8.166662890629421412e-01,4.420092269260886830e-01,0.000000000000000000e+00,8.998669060271674569e-01,4.361048199502095546e-01,0.000000000000000000e+00
5.826477306217909824e-01,2.948269586646805607e-01,8.237175856374442384e-01,4.302347867239140200e-01,0.000000000000000000e+00,9.040919322065541497e-01,4.247576766009357740e-01,0.000000000000000000e+00
5.876353890361680765e-01,3.158862244236368966e-01,8.307688822119465577e-01,4.182371683683303587e-01,0.000000000000000000e+00,9.082812890293853192e-01,4.131696183939292943e-01,0.000000000000000000e+00
5.926230474505450596e-01,3.369451111864512072e-01,8.378201787864486549e-01,4.060079631375645981e-01,0.000000000000000000e+00,9.124358649305642777e-01,4.013326601371014490e-01,0.000000000000000000e+00
5.976107058649220427e-01,3.580043157318861802e-01,8.448714753609509742e-01,3.935380232786724886e-01,0.000000000000000000e+00,9.165565120650239761e-01,3.892380440964857691e-01,0.000000000000000000e+00
6.025983642792991368e-01,3.790632598781593643e-01,8.519227719354531825e-01,3.808173611861040975e-01,0.000000000000000000e+00,9.206440483485888171e-01,3.768761399191995487e-01,2.187119958959815591e-03
6.075860226936761199e-01,4.001223462182146307e-01,8.589740685099555018e-01,3.678350293414602845e-01,3.228731687675434614e-02,9.246992593535605653e-01,3.642363251043715389e-01,3.588602111384309179e-02
6.125736811080531030e-01,4.212049355684337471e-01,8.660253650844577100e-01,3.545789761940150164e-01,6.662595937441873062e-02,9.287229000714719573e-01,3.513068411889104237e-01,6.989809437952332338e-02
6.175613395224300861e-01,4.426593768083479929e-01,8.730766616589598073e-01,3.410358716349914943e-01,1.016235051733564987e-01,9.327156965542086065e-01,3.380746192819065188e-01,1.045847575264414742e-01
6.225489979368071802e-01,4.646242562790430242e-01,8.801279582334620155e-01,3.271908935963181442e-01,1.374333626827248800e-01,9.366783474436051193e-01,3.245250664508085858e-01,1.400991898282344383e-01
6.275366563511841633e-01,4.871290796066052309e-01,8.871792548079643348e-01,3.130274643050405814e-01,1.741016153015646495e-01,9.406115254629375810e-01,3.106418012214822166e-01,1.764872783851230142e-01
6.325243147655611464e-01,5.102078960835365606e-01,8.942305513824662100e-01,2.985269204069658233e-01,2.116809756765707373e-01,9.445158784650387052e-01,2.964063238317042881e-01,2.138015722518322725e-01
6.375119731799382405e-01,5.338981631996233546e-01,9.012818479569688623e-01,2.836680948307996886e-01,2.502300683688236660e-01,9.483920311589277841e-01,2.817975950646696148e-01,2.521005681349537397e-01
6.424996315943152236e-01,5.582437936197504058e-01,9.083331445314708485e-01,2.684267787328995514e-01,2.898170148868508544e-01,9.522405859091827018e-01,2.667914976245979730e-01,2.914522959951524328e-01
6.474872900086922067e-01,5.832957015855262384e-01,9.153844411059730568e-01,2.527750171666440782e-01,3.305206844188821602e-01,9.560621239377400382e-01,2.513601288840913162e-01,3.319355727014349222e-01
