val,HAgE,nu,HAgB_nu,key_nu,eta,HAgB_eta,key_eta
5.238095238095238360e-01,9.860960137331176156e-08,7.399400733959434762e-01,5.575203537712369872e-01,0.000000000000000000e+00,8.505351244258727572e-01,5.471230941254270341e-01,0.000000000000000000e+00
5.285299984704743270e-01,1.586068141162577660e-02,7.466082766422013073e-01,5.483064344675221413e-01,0.000000000000000000e+00,8.550174105819308146e-01,5.384731894710129696e-01,0.000000000000000000e+00
5.332504731314249291e-01,3.198402107289233243e-02,7.532764798884590274e-01,5.389475551651723428e-01,0.000000000000000000e+00,8.594534266505420295e-01,5.296565909285575469e-01,0.000000000000000000e+00
5.379709477923754202e-01,4.837587668210829861e-02,7.599446831347167475e-01,5.294403633725943692e-01,0.000000000000000000e+00,8.638445766388708202e-01,5.206707647547911266e-01,0.000000000000000000e+00
5.426914224533260223e-01,6.504403589473906067e-02,7.666128863809746896e-01,5.197813158677346834e-01,0.000000000000000000e+00,8.681921949540116756e-01,5.115129377891829421e-01,0.000000000000000000e+00
5.474118971142766243e-01,8.199562272194516055e-02,7.732810896272326318e-01,5.099666623925933617e-01,0.000000000000000000e+00,8.724975511395924865e-01,5.021800841803326643e-01,0.000000000000000000e+00
5.521323717752272264e-01,9.923872401943700794e-02,7.799492928734906849e-01,4.999924274273337410e-01,0.000000000000000000e+00,8.767618542058304154e-01,4.926689099086078993e-01,0.000000000000000000e+00
5.568528464361777175e-01,1.167811960986506747e-01,7.866174961197485160e-01,4.898543897527989355e-01,0.000000000000000000e+00,8.809862565948891611e-01,4.829758348399837420e-01,0.000000000000000000e+00
5.615733210971283196e-01,1.346325727103634406e-01,7.932856993660065692e-01,4.795480594555583398e-01,0.000000000000000000e+00,8.851718578183884745e-01,4.730969719878399538e-01,0.000000000000000000e+00
5.662937957580788106e-01,1.528019454436311264e-01,7.999539026122641783e-01,4.690686519626221518e-01,0.000000000000000000e+00,8.893197077995979027e-01,4.630281035892940267e-01,0.000000000000000000e+00
5.710142704190294127e-01,1.712998461227304148e-01,8.066221058585221204e-01,4.584110586102585483e-01,0.000000000000000000e+00,8.934308099491004018e-01,4.527646535171482300e-01,0.000000000000000000e+00
5.757347450799799038e-01,1.901369824144927279e-01,8.132903091047798405e-01,4.475698131487209075e-01,0.000000000000000000e+00,8.975061239994491791e-01,4.423016554432839254e-01,0.000000000000000000e+00
5.804552197409305059e-01,2.093254658629675191e-01,8.199585123510378937e-01,4.365390534563002856e-01,0.000000000000000000e+00,9.015465686215071717e-01,4.316337160385819161e-01,0.000000000000000000e+00
5.851756944018809969e-01,2.288771015249206897e-01,8.266267155972955027e-01,4.253124775744532293e-01,0.000000000000000000e+00,9.055530238426729994e-01,4.207549723304633282e-01,0.000000000000000000e+00
5.898961690628315990e-01,2.488064166264125632e-01,8.332949188435534449e-01,4.138832929704261421e-01,0.000000000000000000e+00,9.095263332850263005e-01,4.096590421316342878e-01,0.000000000000000000e+00
5.946166437237822011e-01,2.691279492156182229e-01,8.399631220898114980e-01,4.022441576709225863e-01,0.000000000000000000e+00,9.134673062395152199e-01,3.983389661884757516e-01,0.000000000000000000e+00
5.993371183847326922e-01,2.898579836588623948e-01,8.466313253360691071e-01,3.903871115706125661e-01,0.000000000000000000e+00,9.173767195906327165e-01,3.867871403554681287e-01,0.000000000000000000e+00
6.040575930456832943e-01,3.110133852770093910e-01,8.532995285823270493e-01,3.783034957759272565e-01,0.000000000000000000e+00,9.212553196045452086e-01,3.749952356561756517e-01,0.000000000000000000e+00
6.087780677066337853e-01,3.326140249720879183e-01,8.599677318285848804e-01,3.659838572598392847e-01,0.000000000000000000e+00,9.251038235923302322e-01,3.629541035037446850e-01,0.000000000000000000e+00
6.134985423675843874e-01,3.546807543782053429e-01,8.666359350748427115e-01,3.534178353230970071e-01,1.262919055108335797e-03,9.289229214588229366e-01,3.506536625704139709e-01,4.027091807791371991e-03
6.182190170285348785e-01,3.772368357919537729e-01,8.733041383211003206e-01,3.405940253033739040e-01,3.664281048857986889e-02,9.327132771465407313e-01,3.380827627375766475e-01,3.915407305437712537e-02
6.229394916894854806e-01,4.003080600644750575e-01,8.799723415673583737e-01,3.274998135301490088e-01,7.280824653432604876e-02,9.364755299832473456e-01,3.252290201094636402e-01,7.507903995501141736e-02
6.276599663504360826e-01,4.239232189482873281e-01,8.866405448136160938e-01,3.141211755161876784e-01,1.098020434320996497e-01,9.402102959408979999e-01,3.120786150603794828e-01,1.118446038879078452e-01
6.323804410113866847e-01,4.481144588886136759e-01,8.933087480598742580e-01,3.004424265398664140e-01,1.476720323487472619e-01,9.439181688626824274e-01,2.986160422574635209e-01,1.494984166311501550e-01
6.371009156723371758e-01,4.729181893076592758e-01,8.999769513061319781e-01,2.864459096896221357e-01,1.864722796180371400e-01,9.475997213449793843e-01,2.848237988654112041e-01,1.880943904422480717e-01
6.418213903332877779e-01,4.983758515556129254e-01,9.066451545523899203e-01,2.721116004439960712e-01,2.262642511116168542e-01,9.512555061410479240e-01,2.706819867964087578e-01,2.276938647592041676e-01
6.465418649942382689e-01,5.245349101259257907e-01,9.133133577986475293e-01,2.574165978474791672e-01,2.671183122784466235e-01,9.548860568460380005e-01,2.561678035362957573e-01,2.683671065896300334e-01
6.512623396551887600e-01,5.514502058697301479e-01,9.199815610449052494e-01,2.423344584446538441e-01,3.091157474250763038e-01,9.584918888902936862e-01,2.412548738913582458e-01,3.101953319783719021e-01
6.559828143161393621e-01,5.791862021748173106e-01,9.266497642911634136e-01,2.268343070707232734e-01,3.523518951040940372e-01,9.620735003932092688e-01,2.259123582341620029e-01,3.532738439406553077e-01
6.607032889770898532e-01,6.078190189301047042e-01,9.333179675374211337e-01,2.108796223694735517e-01,3.969393965606311525e-01,9.656313729662234779e-01,2.101037345974514636e-01,3.977152843326532405e-01
6.654237636380405663e-01,6.374408886904729954e-01,9.399861707836791869e-01,1.944265330630330357e-01,4.430143556274399597e-01,9.691659724685978139e-01,1.937850903123712332e-01,4.436557983781017622e-01
6.701442382989910573e-01,6.681633307924661480e-01,9.466543740299370180e-01,1.774213504501811478e-01,4.907419803422850002e-01,9.726777497193145328e-01,1.769026481610911361e-01,4.912606826313750119e-01
6.748647129599416594e-01,7.001278964660793136e-01,9.533225772761947381e-01,1.597968538481970846e-01,5.403310426178822290e-01,9.761671411681648314e-01,1.593890429443872714e-01,5.407388535216920422e-01
6.795851876208921505e-01,7.335150827345282565e-01,9.599907805224526802e-01,1.414664241054888194e-01,5.920486586290394371e-01,9.796345695288407596e-01,1.411574422153666353e-01,5.923576405191616212e-01
6.843056622818427526e-01,7.685634103420513341e-01,9.666589837687106224e-01,1.223141942930445758e-01,6.462492160490067583e-01,9.830804443766248957e-01,1.220916778118588120e-01,6.464717325301925221e-01
6.890261369427932436e-01,8.056019985435556308e-01,9.733271870149683425e-01,1.021771185294668705e-01,7.034248800140887603e-01,9.865051627130617673e-01,1.020282843094962866e-01,7.035737142340593442e-01
6.937466116037437347e-01,8.451063469832655883e-01,9.799953902612260626e-01,8.080841530998839062e-02,7.642979316732771977e-01,9.899091094998129226e-01,8.071989022212511244e-02,7.643864567611404759e-01
6.984670862646943368e-01,8.878061859070180972e-01,9.866635935074840047e-01,5.778905273998002912e-02,8.300171331670380681e-01,9.932926581716351455e-01,5.774660223692407168e-02,8.300595836700940255e-01
7.031875609256449389e-01,9.349220726902869316e-01,9.933317967537419468e-01,3.223667350018133426e-02,9.026853991901055974e-01,9.966561710752024350e-01,3.222468976116410477e-02,9.026973829291228268e-01
7.079080355865955410e-01,9.887292322285663460e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.887292322285663460e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.887292322285663460e-01
