2.0000000,0.0000000
2.0177083,0.0207448
2.0354167,0.0414914
2.0531250,0.0622392
2.0708333,0.0829879
2.0885416,0.1037373
2.1062500,0.1244874
2.1239583,0.1452382
2.1416666,0.1659896
2.1593750,0.1867415
2.1770833,0.2074939
2.1947916,0.2282469
2.2124999,0.2490004
2.2302083,0.2697546
2.2479166,0.2905091
2.2656249,0.3112640
2.2833333,0.3320197
2.3010416,0.3527757
2.3187499,0.3735323
2.3364582,0.3942895
2.3541666,0.4150473
2.3718749,0.4358057
2.3895832,0.4565647
2.4072916,0.4773244
2.4249999,0.4980848
2.4427082,0.5188460
2.4604165,0.5396080
2.4781249,0.5603710
2.4958332,0.5811349
2.5135415,0.6018999
2.5312499,0.6226660
2.5489582,0.6434337
2.5666665,0.6642030
2.5843748,0.6849741
2.6020832,0.7057477
2.6197915,0.7265237
2.6374998,0.7473572
2.6552082,0.7684359
2.6729165,0.7897800
2.6906248,0.8113931
