7.180326832784531543e-01,9.971845462201487376e-01,9.999999999999998890e-01,3.108624468950438313e-15,9.971845462201456289e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.971845462201487376e-01
7.153837569690489895e-01,9.652548701969443368e-01,9.963108555207966788e-01,1.941202303119515804e-02,9.458428471657491787e-01,9.981527431521057814e-01,1.940541043109977881e-02,9.458494597658445580e-01
7.127348306596447136e-01,9.364588320757742945e-01,9.926217110415932465e-01,3.512998381616783128e-02,9.013288482596064632e-01,9.963000856700650054e-01,3.510636419790036378e-02,9.013524678778739307e-01
7.100859043502405488e-01,9.094813434793780349e-01,9.889325665623900363e-01,4.945057319883150448e-02,8.600307702805465304e-01,9.944419799085194578e-01,4.940110102608352705e-02,8.600802424532945079e-01
7.074369780408363839e-01,8.837456701418808791e-01,9.852434220831868261e-01,6.286197115297165183e-02,8.208836989889092273e-01,9.925783775194831904e-01,6.277859038378053036e-02,8.209670797581003487e-01
7.047880517314321080e-01,8.589380306972264068e-01,9.815542776039835049e-01,7.559602573805479508e-02,7.833420049591716117e-01,9.907092294117202380e-01,7.547121106128062973e-02,7.834668196359457770e-01
7.021391254220279432e-01,8.348644332107543198e-01,9.778651331247804057e-01,8.778928866314705814e-02,7.470751445476072616e-01,9.888344858041957508e-01,8.761590874189084666e-02,7.472485244688634731e-01
6.994901991126236673e-01,8.113974549450669871e-01,9.741759886455768624e-01,9.953198556613584991e-02,7.118654693789311372e-01,9.869540961328336914e-01,9.930321848529855000e-02,7.120942364597684371e-01
6.968412728032195025e-01,7.884456554604206691e-01,9.704868441663736522e-01,1.108882407802480596e-01,6.775574146801726094e-01,9.850680090764433183e-01,1.105975160708102534e-01,6.778481393896104157e-01
6.941923464938153376e-01,7.659411673288980538e-01,9.667976996871705531e-01,1.219059976537857359e-01,6.440351696751123178e-01,9.831761725315966149e-01,1.215469541683263932e-01,6.443942131605716606e-01
6.915434201844110618e-01,7.438160955984575162e-01,9.631085552079671208e-01,1.326224676245082446e-01,6.111936279739492717e-01,9.812785335958352784e-01,1.321889214848145366e-01,6.116271741136429796e-01
6.888944938750068969e-01,7.220098721691159405e-01,9.594194107287640216e-01,1.430673758215044167e-01,5.789424963476115238e-01,9.793750385504094158e-01,1.425532951822703343e-01,5.794565769868456062e-01
6.862455675656027321e-01,7.004902411209332769e-01,9.557302662495607004e-01,1.532650161248305665e-01,5.472252249961027104e-01,9.774656328425338492e-01,1.526645007615072824e-01,5.478257403594259944e-01
6.835966412561984562e-01,6.792301959682295331e-01,9.520411217703574902e-01,1.632356162984782699e-01,5.159945796697512632e-01,9.755502610671471508e-01,1.625428807318103352e-01,5.166873152364191979e-01
6.809477149467942914e-01,6.582068304513948309e-01,9.483519772911541690e-01,1.729962805712765839e-01,4.852105498801182470e-01,9.736288669481534264e-01,1.722056398592983761e-01,4.860011905920964548e-01
6.782987886373901265e-01,6.374010733226012082e-01,9.446628328119508478e-01,1.825616615441207902e-01,4.548394117784804180e-01,9.717013933191291919e-01,1.816675191335305195e-01,4.557335541890706887e-01
6.756498623279858506e-01,6.167968959570558907e-01,9.409736883327476376e-01,1.919444521420854421e-01,4.248524438149704485e-01,9.697677821034800250e-01,1.909412893408443113e-01,4.258556066162115794e-01
6.730009360185816858e-01,5.963630522568068582e-01,9.372845438535445384e-01,2.011557541136625993e-01,3.952072981431442589e-01,9.678279742940228969e-01,2.000381208611330397e-01,3.963249313956738185e-01
6.703520097091774099e-01,5.760869967111822421e-01,9.335953993743411061e-01,2.102053595369932637e-01,3.658816371741889784e-01,9.658819099319764234e-01,2.089678662273070087e-01,3.671191304838752334e-01
6.677030833997732451e-01,5.559599669994879090e-01,9.299062548951377849e-01,2.191019695859006688e-01,3.368579974135872401e-01,9.639295280853386050e-01,2.177392797566912730e-01,3.382206872427966360e-01
6.650541570903690802e-01,5.359747637281973009e-01,9.262171104159346857e-01,2.278533671197835453e-01,3.081213966084137557e-01,9.619707668266280765e-01,2.263601908594345957e-01,3.096145728687627052e-01
6.624052307809648044e-01,5.161219026319484593e-01,9.225279659367314755e-01,2.364665546748174751e-01,2.796553479571309841e-01,9.600055632099669944e-01,2.348376426317813070e-01,2.812842600001671522e-01
6.597563044715606395e-01,4.963834843565216315e-01,9.188388214575281543e-01,2.449478661157069581e-01,2.514356182408146734e-01,9.580338532474823587e-01,2.431780040163363799e-01,2.532054803401852516e-01
6.571073781621564747e-01,4.767578642703309555e-01,9.151496769783250551e-01,2.533030579483341871e-01,2.234548063219967684e-01,9.560555718849990114e-01,2.513870615471904824e-01,2.253708027231404731e-01
6.544584518527521988e-01,4.572385217561704684e-01,9.114605324991216229e-01,2.615373847243223082e-01,1.957011370318481602e-01,9.540706529769996669e-01,2.594700951244816034e-01,1.977684266316888650e-01
6.518095255433480339e-01,4.378224495226864521e-01,9.077713880199185237e-01,2.696556618581598119e-01,1.681667876645266402e-01,9.520790292608254379e-01,2.674319411497156906e-01,1.703905083729707615e-01
6.491605992339437581e-01,4.185135141635122347e-01,9.040822435407150914e-01,2.776623183789121985e-01,1.408511957846000362e-01,9.500806323300855505e-01,2.752770455522992599e-01,1.432364686112129748e-01
6.465116729245395932e-01,3.993106709271755372e-01,9.003930990615119923e-01,2.855614415553375807e-01,1.137492293718379566e-01,9.480753926072510440e-01,2.830095086528875425e-01,1.163011622742879947e-01
6.438627466151354284e-01,3.802138738737488866e-01,8.967039545823087821e-01,2.933568149016509974e-01,8.685705897209788917e-02,9.460632393153975972e-01,2.906331233762509125e-01,8.958075049749797403e-02
6.412138203057311525e-01,3.612194905605163320e-01,8.930148101031052388e-01,3.010519507476068224e-01,6.016753981290950959e-02,9.440441004490675025e-01,2.981514080018048407e-01,6.306808255871149127e-02
6.385648939963269877e-01,3.423237048647431724e-01,8.893256656239021396e-01,3.086501183113243840e-01,3.367358655341878837e-02,9.420179027442163733e-01,3.055676343938824591e-01,3.675607047086071333e-02
6.359159676869228228e-01,3.235236578060520785e-01,8.856365211446988184e-01,3.161543680253156019e-01,7.369289780736476558e-03,9.399845716472093882e-01,3.128848524652336760e-01,1.063880534081840246e-02
6.332670413775185470e-01,3.048196501935351299e-01,8.819473766654953861e-01,3.235675527207080293e-01,0.000000000000000000e+00,9.379440312828301041e-01,3.201059114812855322e-01,0.000000000000000000e+00
6.306181150681143821e-01,2.862103761468524077e-01,8.782582321862923980e-01,3.308923461611106287e-01,0.000000000000000000e+00,9.358962043489085225e-01,3.272334789484587780e-01,0.000000000000000000e+00
6.279691887587102173e-01,2.676940009631326722e-01,8.745690877070891878e-01,3.381312593280845213e-01,0.000000000000000000e+00,9.338410123499415461e-01,3.342700560613940386e-01,0.000000000000000000e+00
6.253202624493059414e-01,2.492670316302835476e-01,8.708799432278857555e-01,3.452866547891688676e-01,0.000000000000000000e+00,9.317783751872337206e-01,3.412179934562817873e-01,0.000000000000000000e+00
6.226713361399017765e-01,2.309299169702189736e-01,8.671907987486826563e-01,3.523607594226332296e-01,0.000000000000000000e+00,9.297082113569085093e-01,3.480795031838532783e-01,0.000000000000000000e+00
6.200224098304975007e-01,2.126789961117154792e-01,8.635016542694792241e-01,3.593556757273785873e-01,0.000000000000000000e+00,9.276304378570768838e-01,3.548566702718076726e-01,0.000000000000000000e+00
6.173734835210933358e-01,1.945134337263647317e-01,8.598125097902761249e-01,3.662733919093192902e-01,0.000000000000000000e+00,9.255449701490074954e-01,3.615514628610463355e-01,0.000000000000000000e+00
