Val,Time,HAgE_00,HAgE_01,HAgE_02
1.000,0.74,0.9971841358806861,0.9971839611029822,0.9971850165040046
0.995,0.95,0.9103701361117783,0.910380447924085,0.910373904601531
0.990,1.13,0.8324743604304607,0.8324670811922807,0.8324781053325095
0.985,1.31,0.7591466616203499,0.7591728650423679,0.7591670058284455
0.980,1.35,0.6890442839215716,0.6890264406562367,0.6890402155407285
0.975,1.47,0.6215518207257127,0.6215563598875031,0.6215527412544226
0.970,1.52,0.5564923318128763,0.5565103113523278,0.5564874293455598
0.965,1.54,0.4938722989848423,0.4938847297094397,0.49388651107226644
0.960,1.55,0.4336987050573678,0.43369509646614846,0.43370342782043114
0.955,1.53,0.3760125683220199,0.37601643535946844,0.37604527423165485
0.950,1.55,0.3209475688951664,0.3208900521084533,0.3209548256115728
0.945,1.54,0.26850167021656435,0.2685006017944359,0.268486596613201
0.940,1.47,0.21883848256043503,0.2188257907424298,0.2188507947718742
0.935,1.46,0.17212835523170242,0.17209938179197637,0.17213080927518132
0.930,1.37,0.12849128218030356,0.12850452561142342,0.12851055006827047
0.925,1.33,0.08828872746665685,0.08829666901587348,0.08828674121097238
0.920,1.15,0.05185832147303161,0.05184357282943544,0.05187324307916934
0.915,0.99,0.020031375240246223,0.020038875766609926,0.020036353108156615
0.910,0.52,-1.94212140813832e-09,-2.72611321017191e-09,2.8946747679392537e-08
0.905,0.00,0.00000000000000000,0.00000000000000000,0.00000000000000000
0.900,0.00,0.00000000000000000,0.00000000000000000,0.00000000000000000
0.895,0.00,0.00000000000000000,0.00000000000000000,0.00000000000000000
0.890,0.00,0.00000000000000000,0.00000000000000000,0.00000000000000000
0.885,0.00,0.00000000000000000,0.00000000000000000,0.00000000000000000
