val,HAgE,nu,HAgB_nu,key_nu,eta,HAgB_eta,key_eta
5.000000000000000000e-01,5.603198260928365926e-08,7.071067811865473507e-01,6.008760366928562746e-01,0.000000000000000000e+00,8.284271247461900689e-01,5.862240730671626210e-01,0.000000000000000000e+00
5.053104302868345332e-01,1.407690125397031977e-02,7.146168637202254814e-01,5.912446125933090713e-01,0.000000000000000000e+00,8.337039433682940093e-01,5.774064843590751561e-01,0.000000000000000000e+00
5.106208605736690664e-01,2.956866922775613915e-02,7.221269462539039452e-01,5.814468810290529532e-01,0.000000000000000000e+00,8.389152038488032481e-01,5.683888057479886680e-01,0.000000000000000000e+00
5.159312908605037107e-01,4.573468298557603617e-02,7.296370287875822980e-01,5.714790910638254395e-01,0.000000000000000000e+00,8.440632904808895720e-01,5.591687847106637799e-01,0.000000000000000000e+00
5.212417211473382439e-01,6.236357594227115442e-02,7.371471113212606507e-01,5.613372766481150578e-01,0.000000000000000000e+00,8.491504465766521736e-01,5.497438512344182682e-01,0.000000000000000000e+00
5.265521514341727771e-01,7.934643983711975324e-02,7.446571938549387815e-01,5.510172382599693996e-01,0.000000000000000000e+00,8.541787856916502886e-01,5.401111076433389169e-01,0.000000000000000000e+00
5.318625817210073103e-01,9.661328462600504707e-02,7.521672763886169122e-01,5.405145223828426992e-01,0.000000000000000000e+00,8.591503019446015132e-01,5.302673149865666513e-01,0.000000000000000000e+00
5.371730120078418436e-01,1.141227315993837976e-01,7.596773589222951539e-01,5.298243984925263828e-01,0.000000000000000000e+00,8.640668792580543656e-01,5.202088762990739745e-01,0.000000000000000000e+00
5.424834422946763768e-01,1.318359582694332843e-01,7.671874414559733957e-01,5.189418331636415083e-01,0.000000000000000000e+00,8.689302996997215756e-01,5.099318163285579963e-01,0.000000000000000000e+00
5.477938725815110210e-01,1.497529723277635227e-01,7.746975239896517484e-01,5.078614608306772915e-01,0.000000000000000000e+00,8.737422510291792399e-01,4.994317573336641836e-01,0.000000000000000000e+00
5.531043028683455542e-01,1.679931874366102917e-01,7.822076065233299902e-01,4.965775506454801480e-01,0.000000000000000000e+00,8.785043335405373632e-01,4.887038904552735152e-01,0.000000000000000000e+00
5.584147331551800875e-01,1.865897881111093781e-01,7.897176890570082319e-01,4.850839687574459713e-01,0.000000000000000000e+00,8.832180662797227688e-01,4.777429420380241432e-01,0.000000000000000000e+00
5.637251634420146207e-01,2.055552587408104870e-01,7.972277715906863627e-01,4.733741351981299861e-01,0.000000000000000000e+00,8.878848927048411666e-01,4.665431341268415633e-01,0.000000000000000000e+00
5.690355937288491539e-01,2.249013790796396961e-01,8.047378541243647154e-01,4.614409743698564270e-01,0.000000000000000000e+00,8.925061858494045541e-01,4.550981381741634468e-01,0.000000000000000000e+00
5.743460240156836871e-01,2.446431807737079467e-01,8.122479366580429572e-01,4.492768579067074608e-01,0.000000000000000000e+00,8.970832530407646388e-01,4.434010207560368233e-01,0.000000000000000000e+00
5.796564543025183314e-01,2.647956422964004020e-01,8.197580191917214210e-01,4.368735383801598537e-01,0.000000000000000000e+00,9.016173402197095177e-01,4.314441797933127321e-01,0.000000000000000000e+00
5.849668845893528646e-01,2.853751536996256277e-01,8.272681017253995517e-01,4.242220719390390471e-01,0.000000000000000000e+00,9.061096359016655999e-01,4.192192693860088415e-01,0.000000000000000000e+00
5.902773148761873978e-01,3.063996530249246675e-01,8.347781842590777934e-01,4.113127274741046335e-01,0.000000000000000000e+00,9.105612748151938884e-01,4.067171108640570409e-01,0.000000000000000000e+00
5.955877451630219310e-01,3.278890799987088656e-01,8.422882667927561462e-01,3.981348792390104752e-01,0.000000000000000000e+00,9.149733412493420426e-01,3.939275869934426577e-01,0.000000000000000000e+00
6.008981754498564642e-01,3.498645918763507723e-01,8.497983493264342769e-01,3.846768789806724875e-01,0.000000000000000000e+00,9.193468721378273978e-01,3.808395153920047793e-01,0.000000000000000000e+00
6.062086057366911085e-01,3.723500767087672969e-01,8.573084318601126297e-01,3.709259024449509390e-01,1.424174263816357922e-03,9.236828599049085042e-01,3.674404960152661825e-01,4.909580693501114368e-03
6.115190360235256417e-01,3.953722606747707147e-01,8.648185143937908714e-01,3.568677634977026614e-01,3.850449717706805330e-02,9.279822550950692639e-01,3.537167259388589446e-01,4.165553473591177003e-02
6.168294663103601749e-01,4.189606452784131463e-01,8.723285969274692242e-01,3.424866868408709131e-01,7.647395843754223321e-02,9.322459688062577632e-01,3.396527723940840904e-01,7.930787288432905591e-02
6.221398965971947081e-01,4.431477085300050689e-01,8.798386794611474659e-01,3.277650271085774669e-01,1.153826814214276020e-01,9.364748749443220222e-01,3.252312918061293079e-01,1.179164167238757610e-01
6.274503268840292414e-01,4.679711662818109019e-01,8.873487619948257077e-01,3.126829175296756969e-01,1.552882487521352051e-01,9.406698123834683622e-01,3.104326777221904088e-01,1.575384885596204931e-01
6.327607571708637746e-01,4.934733106713320439e-01,8.948588445285038384e-01,2.972178245882419745e-01,1.962554860830900694e-01,9.448315866014878051e-01,2.952346155813805328e-01,1.982386950899515110e-01
6.380711874576984188e-01,5.197026949697480802e-01,9.023689270621823022e-01,2.813439749621862163e-01,2.383587200075618640e-01,9.489609720076582766e-01,2.796115062065265278e-01,2.400911887632215524e-01
6.433816177445329521e-01,5.467157428493250038e-01,9.098790095958605439e-01,2.650316053679193651e-01,2.816841374814056387e-01,9.530587132226406855e-01,2.635337147178986594e-01,2.831820281314263443e-01
6.486920480313674853e-01,5.745777811882541997e-01,9.173890921295387857e-01,2.482459610888223533e-01,3.263318200994318463e-01,9.571255267671104905e-01,2.469665653293430241e-01,3.276112158589111756e-01
6.540024783182020185e-01,6.033673914762198720e-01,9.248991746632169164e-01,2.309459281645285245e-01,3.724214633116913475e-01,9.611621025238397120e-01,2.298689689537833925e-01,3.734984225224364796e-01
6.593129086050366627e-01,6.331783213920187947e-01,9.324092571968954912e-01,2.130821145630013014e-01,4.200962068290174933e-01,9.651691051035192759e-01,2.121914980533647910e-01,4.209868233386540037e-01
6.646233388918711960e-01,6.641256787925549077e-01,9.399193397305737330e-01,1.945940711528175715e-01,4.695316076397373362e-01,9.691471751219291608e-01,1.938735988332795923e-01,4.702520799592753153e-01
6.699337691787057292e-01,6.963534359297307574e-01,9.474294222642519747e-01,1.754061081745765804e-01,5.209473277551541770e-01,9.730969303953721505e-01,1.748393953214130159e-01,5.215140406083177416e-01
