wexp,HAgE,nu,HAgB_nu,key_nu,eta,HAgB_eta,key_eta
6.563867531408624778e-01,6.124522514897831060e-01,9.282710484538485574e-01,2.229984956801958074e-01,3.894537558095872987e-01,9.629647842471241725e-01,2.220071958548743840e-01,3.904450556349087220e-01
6.521600841370553958e-01,5.886817603894026751e-01,9.222936358250025668e-01,2.370091363896518200e-01,3.516726239997508552e-01,9.597650413919459611e-01,2.358637641400903595e-01,3.528179962493123156e-01
6.479334151332483138e-01,5.655168506350544133e-01,9.163162231961566873e-01,2.506743653057255106e-01,3.148424853293289027e-01,9.565464205074998283e-01,2.493647391144384606e-01,3.161521115206159527e-01
6.437067461294412318e-01,5.429131678418143148e-01,9.103388105673106967e-01,2.640178972160864834e-01,2.788952706257278313e-01,9.533085834655706803e-01,2.625338454740322458e-01,2.803793223677820690e-01
6.394800771256340388e-01,5.208362249685246637e-01,9.043613979384643731e-01,2.770602714999559346e-01,2.437759534685687290e-01,9.500511819222827725e-01,2.753916087467189744e-01,2.454446162218056893e-01
6.352534081218269568e-01,4.992568964229198158e-01,8.983839853096184935e-01,2.898194491944852125e-01,2.094374472284346034e-01,9.467738568808292676e-01,2.879559543346204009e-01,2.113009420882994149e-01
6.310267391180198748e-01,4.781373798373794726e-01,8.924065726807726140e-01,3.023112691088900572e-01,1.758261107284894154e-01,9.434762382298704786e-01,3.002426651594126694e-01,1.778947146779668032e-01
6.268000701142127928e-01,4.574454059880211365e-01,8.864291600519266234e-01,3.145498022824555484e-01,1.428956037055655881e-01,9.401579441818017635e-01,3.122657375697571736e-01,1.451796684182639630e-01
6.225734011104057108e-01,4.371664213758726936e-01,8.804517474230805218e-01,3.265476316246578303e-01,1.106187897512148632e-01,9.368185810115164935e-01,3.240376609707776856e-01,1.131287604050950080e-01
6.183467321065986289e-01,4.172777067088421221e-01,8.744743347942346423e-01,3.383160754960115035e-01,7.896163121283061859e-02,9.334577421729145508e-01,3.355696433213016805e-01,8.170806338754044162e-02
6.141200631027915469e-01,3.977516282478034126e-01,8.684969221653886517e-01,3.498653686118584627e-01,4.788625963594494994e-02,9.300750079240389656e-01,3.468717917973036524e-01,5.087983645049976023e-02
6.098933940989844649e-01,3.785795136623045232e-01,8.625195095365426612e-01,3.612048099912645860e-01,1.737470367103993718e-02,9.266699446690247477e-01,3.579532612562714711e-01,2.062625240603305210e-02
6.056667250951772719e-01,3.597421369707070049e-01,8.565420969076966706e-01,3.723428851304759757e-01,0.000000000000000000e+00,9.232421043093550495e-01,3.688223766230704914e-01,0.000000000000000000e+00
6.014400560913701899e-01,3.412259713402415739e-01,8.505646842788506801e-01,3.832873677813033453e-01,0.000000000000000000e+00,9.197910235555313285e-01,3.794867347639698796e-01,0.000000000000000000e+00
5.972133870875631079e-01,3.230249493361632140e-01,8.445872716500049115e-01,3.940454054207562784e-01,0.000000000000000000e+00,9.163162231961597959e-01,3.899532899478668213e-01,0.000000000000000000e+00
5.929867180837560259e-01,3.051401299534740597e-01,8.386098590211588100e-01,4.046235915533835659e-01,0.000000000000000000e+00,9.128172073211903159e-01,4.002284260457373843e-01,0.000000000000000000e+00
5.887600490799489439e-01,2.875748099287219195e-01,8.326324463923129304e-01,4.150280272884159238e-01,0.000000000000000000e+00,9.092934624957447198e-01,4.103180179174932274e-01,0.000000000000000000e+00
5.845333800761418619e-01,2.703278759792009378e-01,8.266550337634668288e-01,4.252643741096202579e-01,0.000000000000000000e+00,9.057444568806345409e-01,4.202274839092372538e-01,0.000000000000000000e+00
5.803067110723347799e-01,2.534057806505427557e-01,8.206776211346209493e-01,4.353378993583307821e-01,0.000000000000000000e+00,9.021696392953069132e-01,4.299618309848157738e-01,0.000000000000000000e+00
5.760800420685276979e-01,2.368178326957802449e-01,8.147002085057749587e-01,4.452535156456205456e-01,0.000000000000000000e+00,8.985684382185399333e-01,4.395256937096638783e-01,0.000000000000000000e+00
5.718533730647206159e-01,2.205723279434502471e-01,8.087227958769289682e-01,4.550158151738707968e-01,0.000000000000000000e+00,8.949402607217594730e-01,4.489233680680425609e-01,0.000000000000000000e+00
5.676267040609135339e-01,2.046765517157015102e-01,8.027453832480831997e-01,4.646290997640003528e-01,0.000000000000000000e+00,8.912844913293418436e-01,4.581588409096783998e-01,0.000000000000000000e+00
5.634000350571064519e-01,1.891370837590468368e-01,7.967679706192370981e-01,4.740974072396479944e-01,0.000000000000000000e+00,8.876004907996943860e-01,4.672358156758957826e-01,0.000000000000000000e+00
5.591733660532993699e-01,1.739526130252829206e-01,7.907905579903912185e-01,4.834245347045442731e-01,0.000000000000000000e+00,8.838875948202845612e-01,4.761577349393361080e-01,0.000000000000000000e+00
5.549466970494921769e-01,1.591184078369954902e-01,7.848131453615452280e-01,4.926140591572938376e-01,0.000000000000000000e+00,8.801451126090664712e-01,4.849278001984698161e-01,0.000000000000000000e+00
5.507200280456850949e-01,1.446358095346472750e-01,7.788357327326991264e-01,5.016693558136697817e-01,0.000000000000000000e+00,8.763723254139741403e-01,4.935489892930915445e-01,0.000000000000000000e+00
5.464933590418780129e-01,1.305090942837166257e-01,7.728583201038532469e-01,5.105936144464520154e-01,0.000000000000000000e+00,8.725684849012437239e-01,5.020240717460486835e-01,0.000000000000000000e+00
5.422666900380709309e-01,1.167345275411451611e-01,7.668809074750072563e-01,5.193898540038512923e-01,0.000000000000000000e+00,8.687328114223362707e-01,5.103556222865063274e-01,0.000000000000000000e+00
5.380400210342638490e-01,1.033172541440153525e-01,7.609034948461612657e-01,5.280609357273555737e-01,0.000000000000000000e+00,8.648644921480889147e-01,5.185460327688926618e-01,0.000000000000000000e+00
5.338133520304567670e-01,9.025815468396944374e-02,7.549260822173152752e-01,5.366095749566961448e-01,0.000000000000000000e+00,8.609626790574512745e-01,5.265975226674541876e-01,0.000000000000000000e+00
5.295866830266496850e-01,7.756427710720240065e-02,7.489486695884693956e-01,5.450383517821340007e-01,0.000000000000000000e+00,8.570264867667093389e-01,5.345121482977099880e-01,0.000000000000000000e+00
5.253600140228426030e-01,6.524513451305558043e-02,7.429712569596232941e-01,5.533497206813651204e-01,0.000000000000000000e+00,8.530549901834589832e-01,5.422918108919427826e-01,0.000000000000000000e+00
5.211333450190354100e-01,5.330494820564640746e-02,7.369938443307771925e-01,5.615460192591772426e-01,0.000000000000000000e+00,8.490472219677224208e-01,5.499382636352644349e-01,0.000000000000000000e+00
5.169066760152283280e-01,4.176232671124812529e-02,7.310164317019314240e-01,5.696294761918638816e-01,0.000000000000000000e+00,8.450021697804708243e-01,5.574531177511299340e-01,0.000000000000000000e+00
5.126800070114212460e-01,3.063022537710057003e-02,7.250390190730855444e-01,5.776022184648035296e-01,0.000000000000000000e+00,8.409187732973836260e-01,5.648378477097748540e-01,0.000000000000000000e+00
5.084533380076141640e-01,1.993648361157226295e-02,7.190616064442395539e-01,5.854662779800547945e-01,0.000000000000000000e+00,8.367959209628961226e-01,5.720937956195089047e-01,0.000000000000000000e+00
5.042266690038070820e-01,9.711811470795438106e-03,7.130841938153935633e-01,5.932235976010238332e-01,0.000000000000000000e+00,8.326324463923130414e-01,5.792221749568934319e-01,0.000000000000000000e+00
5.000000000000000000e-01,6.131570842032862956e-08,7.071067811865475727e-01,6.008760366928558305e-01,0.000000000000000000e+00,8.284271247461902909e-01,5.862240730671619549e-01,0.000000000000000000e+00
