wexp,HAgE,nu,HAgB_nu,key_nu,eta,HAgB_eta,key_eta
7.071067811865475727e-01,9.971832775636569890e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.971832775636569890e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.971832775636569890e-01
7.028801121827404907e-01,9.467711290676477098e-01,9.940225873711540094e-01,2.936941963282624357e-02,9.174017094348214663e-01,9.970036302857978594e-01,2.935837896184700924e-02,9.174127501058007006e-01
6.986534431789334088e-01,9.054501643806415201e-01,9.880451747423081299e-01,5.274850130817987370e-02,8.527016630724616464e-01,9.939917751513590582e-01,5.270933936995958469e-02,8.527408250106819354e-01
6.944267741751263268e-01,8.684710530806751816e-01,9.820677621134622504e-01,7.385848174808851141e-02,7.946125713325866702e-01,9.909641919847034242e-01,7.377677187576903162e-02,7.946942812049061500e-01
6.902001051713192448e-01,8.343170567214558409e-01,9.760903494846162598e-01,9.349032036006699187e-02,7.408267363613888490e-01,9.879206317972996088e-01,9.335292903746927884e-02,7.409641276839865620e-01
6.859734361675120518e-01,8.022491998494839516e-01,9.701129368557702692e-01,1.120196492853722248e-01,6.902295505641117268e-01,9.848608389435105082e-01,1.118142728064175362e-01,6.904349270430664154e-01
6.817467671637049698e-01,7.718382157026366652e-01,9.641355242269242787e-01,1.296676945995876018e-01,6.421705211030490634e-01,9.817845508909704977e-01,1.293826141535302510e-01,6.424556015491064143e-01
6.775200981598978878e-01,7.427929219533627725e-01,9.581581115980782881e-01,1.465806214182938660e-01,5.962123005350689064e-01,9.786914979534798720e-01,1.462045500317632474e-01,5.965883719215995251e-01
6.732934291560908058e-01,7.149093968624846696e-01,9.521806989692324086e-01,1.628623034913616596e-01,5.520470933711230099e-01,9.755814030150853355e-01,1.623842804998525402e-01,5.525251163626321294e-01
6.690667601522837238e-01,6.880381941741853247e-01,9.462032863403863070e-01,1.785903968042077405e-01,5.094477973699775841e-01,9.724539812403255601e-01,1.779997101024223261e-01,5.100384840717629986e-01
6.648400911484766418e-01,6.620630317658152686e-01,9.402258737115403164e-01,1.938251685513028288e-01,4.682378632145124397e-01,9.693089397697910448e-01,1.931112944423735156e-01,4.689517373234417530e-01
6.606134221446695598e-01,6.368921673188918664e-01,9.342484610826943259e-01,2.086147558877586849e-01,4.282774114311331815e-01,9.661459774000741296e-01,2.077673107407058684e-01,4.291248565781859980e-01
